Id,Label,timeset,modularity_class
1251,1251,,2
1252,1252,,1
1253,1253,,1
1254,1254,,0
1255,1255,,2
1256,1256,,1
1257,1257,,1
1258,1258,,2
1259,1259,,0
1260,1260,,1
1261,1261,,1
1262,1262,,1
1263,1263,,2
1264,1264,,1
1265,1265,,2
1266,1266,,2
1267,1267,,2
1268,1268,,2
1269,1269,,1
1270,1270,,2
1271,1271,,1
1272,1272,,1
1273,1273,,1
1274,1274,,1
1275,1275,,2
1276,1276,,2
1277,1277,,1
1278,1278,,2
1279,1279,,1
1280,1280,,2
1281,1281,,1
1282,1282,,2
1283,1283,,1
1284,1284,,2
1285,1285,,1
1286,1286,,1
1287,1287,,2
1288,1288,,2
1289,1289,,2
1290,1290,,1
1291,1291,,1
1292,1292,,1
1293,1293,,1
1294,1294,,2
1295,1295,,0
1296,1296,,2
1297,1297,,2
1298,1298,,1
1299,1299,,1
1300,1300,,1
1301,1301,,2
1302,1302,,1
1303,1303,,1
1304,1304,,1
1305,1305,,1
1306,1306,,1
1307,1307,,2
1308,1308,,1
1309,1309,,2
1310,1310,,2
1311,1311,,1
1312,1312,,2
1313,1313,,1
1314,1314,,2
1315,1315,,2
1316,1316,,1
1317,1317,,1
1318,1318,,1
1319,1319,,1
1320,1320,,2
1321,1321,,1
1322,1322,,2
1323,1323,,1
1324,1324,,1
1325,1325,,2
1326,1326,,1
1327,1327,,1
1328,1328,,1
1329,1329,,2
1330,1330,,2
1331,1331,,2
1332,1332,,2
1333,1333,,2
1334,1334,,4
1335,1335,,2
1336,1336,,4
1337,1337,,4
1338,1338,,1
1339,1339,,1
1340,1340,,1
1341,1341,,1
1342,1342,,1
1343,1343,,2
1344,1344,,2
1345,1345,,2
1346,1346,,2
1347,1347,,1
1348,1348,,2
1349,1349,,1
1350,1350,,1
1351,1351,,2
1352,1352,,2
1353,1353,,1
1354,1354,,1
1355,1355,,1
1356,1356,,1
1357,1357,,2
1358,1358,,2
1359,1359,,1
1360,1360,,1
1361,1361,,1
1362,1362,,1
1363,1363,,1
1364,1364,,1
1365,1365,,2
1366,1366,,1
